reference_designator,array_name,name,description,min_depth,max_depth,longitude,latitude
CE01ISSM,Coastal Endurance,Oregon Inshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,25,-124.0957,44.6585
CE01ISSP,Coastal Endurance,Oregon Inshore Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,25,-124.0982,44.6585
CE02SHBP,Coastal Endurance,Oregon Shelf Cabled Benthic Experiment Package,"The Benthic Experiment Package (BEP) is a type of cabled infrastructure, specifically deployed along the shallow continental shelf. BEPs are either connected to a Junction Box to receive power as well as transmit data and communications.",79,79,-124.3059,44.637
CE02SHSM,Coastal Endurance,Oregon Shelf Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,80,-124.31,44.64
CE02SHSP,Coastal Endurance,Oregon Shelf Surface Piercing Profiler Mooring,"A Surface-Piercing Profiler Mooring is a mooring that contains a surface-piercing profiler. The surface-piercing profiler allows for the sampling of near surface phenomena as the profiler travels through the water then breaches the surface. While on the surface, the profiler is able to transmit data to shore.",0,81,-124.31,44.64
CE04OSBP,Coastal Endurance,Oregon Offshore Cabled Benthic Experiment Package,"The Benthic Experiment Package (BEP) is a type of cabled infrastructure, specifically deployed along the shallow continental shelf. BEPs are either connected to a Junction Box to receive power as well as transmit data and communications.",579,579,-124.9537,44.3696
CE04OSPD,Coastal Endurance,Oregon Offshore Cabled Deep Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",175,576,-124.9528,44.3683
CE04OSPS,Coastal Endurance,Oregon Offshore Cabled Shallow Profiler Mooring,"Profiler Moorings are a type of mooring that contain instruments fixed to profilers that move up and down the water column. Profilers either track along the mooring riser (wire-following profilers), or are tethered to a mooring-mounted winch that pays out line allowing the profiler to move through the water (shallow profilers).  Instruments may also be attached to the mooring riser or affixed to an underwater platform on these moorings.",20,588,-124.9567,44.3741
CE04OSSM,Coastal Endurance,Oregon Offshore Surface Mooring,"A Surface Mooring is a type of mooring that contains a surface buoy floating on the sea surface and instruments located at fixed depths through the water column. The surface buoy provides a platform on which to secure surface instruments, allowing for the collection of data in the air and in the water, as well as an antenna to transmit data to shore via satellite.",0,588,-124.95,44.37
CE05MOAS,Coastal Endurance,Mobile Assets,"Gliders are buoyancy-driven mobile assets. They change their buoyancy by drawing in water through their nose making their front end heavy causing them to sink through the water. To float back up to the surface, they push the water out. Their wings provide lift allowing the gliders to move forward as they change depth. Due to their efficient design, with no need for propellors or an engine, gliders can be deployed for several months at a time.",0,1000,,
